learn_type,algo_type,model,num_hp,eval_type,iteration,eval_score,Learning Rate,Reward Decay
Reinforcement Learning,Gaussian,Bandit,1,Score,157,1.2,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,158,1.2,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,159,4.4,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,160,15.1,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,161,11.1,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,162,9.1,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,163,8.8,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,164,-0.3,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,165,8.4,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,166,17.2,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,167,-2.0,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,168,-1.0,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,169,5.0,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,170,12.4,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,171,4.5,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,172,7.2,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,173,-3.3,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,174,2.5,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,175,10.0,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,176,-0.5,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,177,2.5,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,178,-1.6,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,179,0.3,9.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,180,2.6,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,181,8.8,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,182,0.9,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,183,2.7,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,184,8.8,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,185,0.2,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,186,8.5,6.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,187,6.5,8.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,188,0.8,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,189,7.3,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,190,3.1,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,191,-7.7,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,192,-0.7,10.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,193,13.4,7.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,194,-2.4,1.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,195,2.3,2.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,196,0.3,3.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,197,-5.8,4.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,198,1.0,5.0,
Reinforcement Learning,Gaussian,Bandit,1,Score,199,-2.3,4.0,
